ID,Название,Формат,"MIME Type","Размер (KB)","Размер (MB)","Файл существует","Путь к файлу","URL изображения","Дата создания"
6,logo-bizfinans,PNG,image/png,5,0,Да,/var/www/bizfin_pro_r_usr/data/www/bizfin-pro.ru/wp-content/uploads/2025/09/logo-bizfinans.png,https://bizfin-pro.ru/wp-content/uploads/2025/09/logo-bizfinans.png,"2025-09-08 11:53:55"
7,42085133_563_q70,WebP,image/webp,20,0.02,Да,/var/www/bizfin_pro_r_usr/data/www/bizfin-pro.ru/wp-content/uploads/2025/09/42085133_563_q70.webp,https://bizfin-pro.ru/wp-content/uploads/2025/09/42085133_563_q70.webp,"2025-09-08 12:23:03"
8,borisova,PNG,image/png,347,0.34,Да,/var/www/bizfin_pro_r_usr/data/www/bizfin-pro.ru/wp-content/uploads/2025/09/borisova.png,https://bizfin-pro.ru/wp-content/uploads/2025/09/borisova.png,"2025-09-08 12:38:00"
10,"Анастасия Борисова Генеральный директор",PNG,image/png,123,0.12,Да,/var/www/bizfin_pro_r_usr/data/www/bizfin-pro.ru/wp-content/uploads/2025/09/ChatGPT-Image-8-сент.-2025-г.-20_40_26.png,https://bizfin-pro.ru/wp-content/uploads/2025/09/ChatGPT-Image-8-сент.-2025-г.-20_40_26.png,"2025-09-08 13:48:27"
11,"Анастасия Борисова Генеральный директор",PNG,image/png,96,0.09,Да,/var/www/bizfin_pro_r_usr/data/www/bizfin-pro.ru/wp-content/uploads/2025/09/ChatGPT-Image-8-сент.-2025-г.-20_47_39.png,https://bizfin-pro.ru/wp-content/uploads/2025/09/ChatGPT-Image-8-сент.-2025-г.-20_47_39.png,"2025-09-08 13:48:52"
42,bg-01-free-img,JPEG,image/jpeg,33,0.03,Да,/var/www/bizfin_pro_r_usr/data/www/bizfin-pro.ru/wp-content/uploads/2018/08/bg-01-free-img.jpg,https://bizfin-pro.ru/wp-content/uploads/2018/08/bg-01-free-img.jpg,"2025-09-08 16:29:29"
72,bg-02-free-img,JPEG,image/jpeg,76,0.07,Да,/var/www/bizfin_pro_r_usr/data/www/bizfin-pro.ru/wp-content/uploads/2018/08/bg-02-free-img.jpg,https://bizfin-pro.ru/wp-content/uploads/2018/08/bg-02-free-img.jpg,"2025-09-08 16:29:29"
73,bg-03-free-img,JPEG,image/jpeg,68,0.07,Да,/var/www/bizfin_pro_r_usr/data/www/bizfin-pro.ru/wp-content/uploads/2018/08/bg-03-free-img.jpg,https://bizfin-pro.ru/wp-content/uploads/2018/08/bg-03-free-img.jpg,"2025-09-08 16:29:30"
74,bg-04-free-img,JPEG,image/jpeg,63,0.06,Да,/var/www/bizfin_pro_r_usr/data/www/bizfin-pro.ru/wp-content/uploads/2018/08/bg-04-free-img.jpg,https://bizfin-pro.ru/wp-content/uploads/2018/08/bg-04-free-img.jpg,"2025-09-08 16:29:30"
75,bg-05-free-img,JPEG,image/jpeg,87,0.09,Да,/var/www/bizfin_pro_r_usr/data/www/bizfin-pro.ru/wp-content/uploads/2018/08/bg-05-free-img.jpg,https://bizfin-pro.ru/wp-content/uploads/2018/08/bg-05-free-img.jpg,"2025-09-08 16:29:30"
76,bg-06-free-img,JPEG,image/jpeg,64,0.06,Да,/var/www/bizfin_pro_r_usr/data/www/bizfin-pro.ru/wp-content/uploads/2018/08/bg-06-free-img.jpg,https://bizfin-pro.ru/wp-content/uploads/2018/08/bg-06-free-img.jpg,"2025-09-08 16:29:31"
423,stack-circle,SVG,image/svg+xml,0,0,Да,/var/www/bizfin_pro_r_usr/data/www/bizfin-pro.ru/wp-content/uploads/2020/07/stack-circle.svg,https://bizfin-pro.ru/wp-content/uploads/2020/07/stack-circle.svg,"2025-09-08 16:29:31"
